# The number of telomeric reads on each arm identified in GIAB PacBio CCS datasets
Telomere	Reference contig	HG001	HG002	HG003	HG004	HG005	HG006	HG007	TOTAL
2p	Chr 2	1	34	6	8	3	1	2	55
3p	3ptel_1-500K_1_12_12	3	29	8	11	0	7	11	69
4p	4ptel_1-500K_1_12_12	19	116	41	21	25	9	5	236
5p	Chr 5	3	29	6	0	4	3	1	46
9p	Chr 9	12	18	2	2	3	1	0	38
12p	Chr 12	4	11	10	6	4	7	4	46
16p	Chr 16	0	0	1	7	0	1	2	11
17p	17ptel_1_500K_1_12_12	3	47	26	18	12	19	18	143
19p	19ptel_1-500K_1_12_12	0	1	0	0	0	0	0	1
	p TOTAL	45	285	100	73	51	48	43	645
1q	1qtel_1-500K_1_12_12_rc	0	0	2	1	0	0	1	4
2q	2qtel_1-500K_1_12_12_rc	0	0	1	0	0	0	0	1
5q	5qtel_1-500K_1_12_12_rc	0	0	0	0	1	0	0	1
6q	6qtel_1-500K_1_12_12_rc	0	0	0	1	0	0	0	1
7q	Chr 7	6	48	10	11	1	7	9	92
8q	Chr 8	5	33	6	8	3	7	2	64
10q	10qtel_1-500K_1_12_12_rc	0	0	0	1	0	0	0	1
11q	Chr 11	4	39	24	11	8	8	13	107
12q	Chr 12	5	32	4	5	5	5	12	68
14q	14qtel_1-500K_1_12_12_rc	3	38	19	4	3	5	4	76
15q	Chr 15	19	6	2	4	11	0	0	42
16q	16qtel_1-500K_1_12_12_rc	0	1	0	0	0	1	0	2
17q	17qtel_1-500K_1_12_12v2_rc	0	2	0	0	0	1	0	3
18q	18qtel_1-500K_1_12_12_rc	3	51	14	5	2	7	3	85
	q TOTAL	45	250	82	51	34	41	44	547
TOTAL		90	535	182	124	85	89	87	1192
